blur,angle,color,Person 1,Person 2,Person 3,Person 4,Person 5,Person 6,Person 7,Person 8,Person 9,Person 10,Person 11,Person 12,Person 13,Person 14,Person 15,Person 16,Person 17,Person 18,Person 19,Person 20,Person 21,Person 22,Person 23,Person 24,Person 25,Person 26,Person 27,Person 28,Person 29,Person 30,Person 31,Person 32,Person 33,Person 34,Person 35,Person 36,Person 37,Person 38,Person 39,Person 40,Person 41,Person 42,Person 43,Person 44,Person 45,Person 46,Person 47,Person 48,Person 49,Person 50
0,20,0,,,,,,,,,,,,16,60,10,2,,8,5,,,,,5,,,9,,,1,,,7,,,,1,9,,3,7,7,,,,,,,,7,3
0,20,200,,,1,,,,5,3,,0.3,,,,,,,,5,,8,,,,,,7,8,9,,3,,6,,,9,,,,2,,8,,7,5,5,,,,,
0,20,245,,,,2,,,,,,4,5,16,60,10,,,,4,3,,8,6,6,,2,,,1,,,,4,,7,8,,,1,1,1,,,,,1,,9,,,9
0,40,0,,,,,20,,10,,15,,10,20,,20\,3,,,,4,,,2,,,,,,,9,,,,6,,1,,4,,,,,5,,,,,,,,
0,40,200,,10,8,,,8,15,,20,,,,,,,,,,,,2,3,,8,7,,2,,,,7,,,,,,3,9,,,9,,,,7,,8,9,,
0,40,245,,15,8,5,20,,,,20,,10,,200,,20,,15,,,9,,,1,7,,,,3,,,,1,,1,,,5,,,8,,,,2,,,6,,,6
0,60,0,,33,,15,,,30,15,50,4.5,,,,,,,33,,,7,,,,,,,,8,7,,4,,1,,,,,5,4,,,,2,,,,,,,
0,60,200,,,14,20,,,,25,,5.5,,,,,40,35,,50,,,,9,,9,,,,,,,8,8,8,,3,4,,8,,,1,2,3,1,2,,,8,,4
0,60,245,60,,,30,,,,,50,,30,,,,35,,33,,6,,1,8,,,,3,6,,5,7,,,,,,,6,3,5,6,3,8,,,,,,4,,8
120,20,0,,,2,,6,2,,,,,,,60,,,20,,8,2,,5,,,3,,,,,,5,,9,,,,9,1,,7,,,,,,8,,4,,,
120,20,200,,,1,2,5,,2,,,0.5,,,,,,15,,12,5,1,,5,,6,,6,1,,,6,,,,8,,,,,,,,,9,,,,,1,2,
120,20,245,,6,1,,2,2,,,5,0.5,10,15,,,,,8,,,,3,,,,,,4,4,8,,6,3,7,5,6,,7,,,2,,,8,,,,,,6,5
120,40,0,20,10,,,20,,12,,,,10,,120,15,10,20,20,24,,,4,,,,,1,,6,,9,,,,,,,,6,,,4,9,,,,,7,6,4,
120,40,200,15,,,,20,,12,,20,,15,,,,10,,,22,,,,,2,,1,,3,,,,,,,,,,,,,,5,4,1,7,9,7,3,7,,
120,40,245,30,,,5,,,,,,,,20,80,,,,,,8,,,,,,3,5,,,,4,,,9,,,,,,,,,,,,,6,,,,
120,60,0,,,,,50,18,,,50,2,,,,,,,,,7,,7,,,,,,,,4,,2,,,6,,,,2,,,6,7,,,,,,5,3,1
120,60,200,,28,,22,,18,,,,,20,,,,,,,,,2,,,,1,,8,,,6,,,2,,,,,,7,,,,,,8,,,,3,,
120,60,245,,,,,,20,,,,,,,,25,,20,28,,,,9,1,7,,,,,,3,,,,3,,,,,,,,,,,6,6,,5,,,
220,20,0,3,,,3,,,,1,,0.7,,18,50,,2,,15,,,6,,,4,4,8,,,,,8,,,2,,,8,,,,,,,,,4,2,,,,
220,20,200,,,,,,,,,,,,,,,,12,,,,,,,,,6,4,,,,,5,,,,4,7,,4,6,,,,,,,4,2,,,
220,20,245,5,3,,,,5,,1,,,,,,10,5,,,3,,,,,,5,9,,7,,,,,5,,4,5,,,,,4,,1,6,3,,8,,,,
220,40,0,20,10,,,,,,8,,,15,20,120,,,15,,,,4,,7,8,2,5,,5,2,,2,1,,,2,,,8,,8,,,3,,9,,9,,,5,
220,40,200,,,,,,,,,,,,20,,,,,,,,5,,4,9,,,2,,,2,,,,,,,5,,,,,,6,,,,,1,,9,7
220,40,245,,,,,,10,,,,5,,,,15,,,,,1,,,,,,,,,,,,9,,5,,,2,,,,5,,,,,,5,,2,1,
220,60,0,50,24,18,,,,,15,,,,25,200,30,,30,,,,,,,,,,,,7,,,,,4,9,,3,2,,9,3,2,,4,,3,1,,,,
220,60,200,40,,15,,,,20,15,50,,,,,,,,,,,3,,,,,,,9,5,,1,3,,,,7,6,,,,9,,,,,,3,,,8,2
220,60,245,,,,,50,18,30,20,,,,,,25,,30,33,,9,,6,,3,,4,,,,,,,,,3,2,,,,,,,,5,4,,,,,,